Date,Open,High,Low,Close,Volume,Company
2020-01-01,1841.4890892482845,1854.9943921477904,1829.5975545391166,1841.1494140625,1354908,TCS.NS
2020-01-02,1851.6396812673222,1851.6396812673222,1825.520769606822,1832.6981201171875,2380752,TCS.NS
2020-01-03,1838.0921451870463,1888.2064874079501,1838.0921451870463,1869.222412109375,4655761,TCS.NS
2020-01-06,1872.9171593323142,1890.7119543604226,1858.3924126989134,1869.0523681640625,3023209,TCS.NS
2020-01-07,1869.0948112496487,1881.1136747126766,1854.9099477715874,1873.63916015625,2429317,TCS.NS
2020-01-08,1872.917118357946,1919.6338718770785,1870.411443052674,1915.5992431640625,5197454,TCS.NS
2020-01-09,1910.0785029467547,1912.7965276021755,1877.1644209059823,1880.859375,3734173,TCS.NS
2020-01-10,1892.452921079012,1897.5492933978962,1875.4650133493979,1880.17919921875,1915807,TCS.NS
2020-01-13,1883.8320105243963,1884.7662212096955,1855.67442351397,1860.4736328125,2843893,TCS.NS
2020-01-14,1864.4227958478061,1893.9817955433746,1864.4227958478061,1874.530517578125,2948452,TCS.NS
2020-01-15,1879.7124053679586,1895.0015257008204,1863.743727101465,1891.5189208984375,2620681,TCS.NS
2020-01-16,1891.5616535161282,1910.2908695901092,1881.4114166927932,1901.6270751953125,3117214,TCS.NS
2020-01-17,1903.2830067719287,1914.1553108756536,1879.7122811497393,1884.8936767578125,3281059,TCS.NS
2020-01-20,1864.3379657587611,1904.5144114902284,1831.4664037500818,1843.4854736328125,5817599,TCS.NS
2020-01-21,1843.1456601584598,1857.2457079207597,1833.0379370059754,1844.080078125,1902980,TCS.NS
2020-01-22,1852.5312609312368,1877.1637261155588,1846.3306333932148,1874.530517578125,1773686,TCS.NS
2020-01-23,1881.2567772458242,1888.0247649326716,1859.037126364453,1865.209228515625,2069866,TCS.NS
2020-01-24,1865.2089120298385,1865.2089120298385,1847.3737097188637,1858.7813720703125,1319430,TCS.NS
2020-01-27,1864.1445233383472,1867.3369890269807,1843.116857571111,1846.7349853515625,1549101,TCS.NS
2020-01-28,1850.7786911491128,1862.5270059181612,1832.0495599599315,1859.0791015625,1743024,TCS.NS
2020-01-29,1860.143232049614,1861.803272541692,1830.3468873714737,1834.2630615234375,2306761,TCS.NS
2020-01-30,1838.8605347671262,1843.1171563753835,1809.0641835093256,1820.0037841796875,2098567,TCS.NS
2020-01-31,1821.3234736466031,1825.5376960142469,1763.6038413091808,1769.9461669921875,3287223,TCS.NS
2020-02-03,1832.0498536898037,1868.401358939337,1781.9919443717183,1789.9093017578125,4728073,TCS.NS
2020-02-04,1812.4691788604741,1819.0243334766103,1776.373116772761,1794.3785400390625,3509339,TCS.NS
2020-02-05,1800.5508339201178,1836.051014467138,1791.4417057851656,1827.41015625,2439322,TCS.NS
2020-02-06,1826.090480976567,1850.9491070278218,1800.9764160866796,1811.916015625,2640065,TCS.NS
2020-02-07,1820.9823089894323,1831.1981985209297,1803.9558264369364,1818.8966064453125,2083442,TCS.NS
2020-02-10,1822.6004525787243,1844.8201041133677,1803.95653004902,1840.5208740234375,2383032,TCS.NS
2020-02-11,1841.4143731762294,1851.4600410062299,1828.3040627179348,1833.2415771484375,1335820,TCS.NS
2020-02-12,1831.2837678290286,1860.1435781933808,1830.3472279706034,1848.01220703125,1620407,TCS.NS
2020-02-13,1849.8851406450226,1870.3595321214311,1848.225099788633,1866.060302734375,1645948,TCS.NS
2020-02-14,1862.6975983746909,1883.1293819034809,1848.225085041798,1859.4625244140625,1500115,TCS.NS
2020-02-17,1870.3169130961255,1887.3860071879787,1864.5704739673392,1875.6802978515625,1774724,TCS.NS
2020-02-18,1872.8706909232762,1890.7911074635247,1861.0373673095105,1886.3216552734375,2486223,TCS.NS
2020-02-19,1886.321636973739,1898.4530070862859,1864.8257004585244,1869.8060302734375,1760463,TCS.NS
2020-02-20,1876.7439823434986,1885.1720078138642,1831.4109739244504,1836.1358642578125,2317278,TCS.NS
2020-02-24,1835.4552497935824,1854.9931015379816,1793.4849188860398,1800.8489990234375,3092877,TCS.NS
2020-02-25,1800.976754355671,1853.0351578783432,1797.14579458512,1835.5830078125,2674567,TCS.NS
2020-02-26,1833.7523654714628,1842.1803920920702,1798.8054647559136,1807.8721923828125,2686842,TCS.NS
2020-02-27,1804.7652197366824,1804.7652197366824,1776.0330196522216,1792.463623046875,2349001,TCS.NS
2020-02-28,1760.5387017782907,1761.8156882641067,1694.13540451586,1702.7763671875,4298076,TCS.NS
2020-03-02,1732.4448344429431,1748.5773872786488,1690.47450769598,1703.7552490234375,2667076,TCS.NS
2020-03-03,1719.6748980099576,1753.7278662873825,1712.8643043544728,1733.46630859375,2757585,TCS.NS
2020-03-04,1750.3227801186176,1783.0561582463324,1723.931726527335,1773.478759765625,3237002,TCS.NS
2020-03-05,1775.6071159547182,1828.4318322724475,1774.2025139454279,1809.1068115234375,3937056,TCS.NS
2020-03-06,1786.0781444966012,1807.9145267581093,1763.603269094782,1801.7850341796875,2595027,TCS.NS
2020-03-09,1766.4979590581236,1770.6693650773132,1647.3125545915514,1679.1094970703125,4940975,TCS.NS
2020-03-11,1645.6099277650142,1691.8368803928918,1634.5427114893055,1663.2322998046875,6796449,TCS.NS
2020-03-12,1620.9209602216379,1624.6668067543274,1496.9255939246068,1506.7158203125,8728786,TCS.NS
2020-03-13,1436.9501419017092,1549.4100482455815,1282.1368564917832,1537.7469482421875,8029720,TCS.NS
2020-03-16,1494.0743578302197,1568.3524135115226,1426.6920091699994,1444.186767578125,7844271,TCS.NS
2020-03-17,1472.790824052652,1473.642148228405,1381.8268566577278,1411.4954833984375,5713248,TCS.NS
2020-03-18,1427.5004691171716,1458.7866336641725,1385.742975275671,1408.4307861328125,7258778,TCS.NS
2020-03-19,1337.5117640842986,1445.3479566848243,1326.4066075933426,1403.2425537109375,5135111,TCS.NS
2020-03-20,1397.7969732510862,1602.7500263842207,1395.2243407849799,1541.3927001953125,8547498,TCS.NS
